Tweet;Sentimen;step01;tokens;step02;ProcessedText
Mangtanku besok akad, ciyee menikah ditengah pandemi covid-19 ciyee;-1.0;mangtanku besok akad ciyee menikah ditengah pandemi covid number ciyee;['mangtanku', 'besok', 'akad', 'ciyee', 'menikah', 'ditengah', 'pandemi', 'covid', 'number', 'ciyee'];mangtanku besok akad ciyee menikah ditengah pandemi covid number ciyee;mangtanku besok akad ciyee meni tengah pandemi covid number ciyee
Ini adalah wujud cinta kasih dan duka kami warga Maluku atas meninggalnya salah satu putra terbaik Maluku, Kaka tercinta Kami menyadari bahwa virus covid-19 ada dimanadan mengancam kami, tp ketakutan itu terkalahkan org rasa duka kami.Mohon jgn bully kami.;1.0;ini adalah wujud cinta kasih dan duka kami warga maluku atas meninggalnya salah satu putra terbaik maluku kaka tercinta kami menyadari bahwa virus covid number ada dimanadan mengancam kami tp ketakutan itu terkalahkan org rasa duka kami mohon jgn bully kami;['wujud', 'cinta', 'kasih', 'duka', 'warga', 'maluku', 'meninggalnya', 'salah', 'putra', 'terbaik', 'maluku', 'kaka', 'tercinta', 'menyadari', 'virus', 'covid', 'number', 'dimanadan', 'mengancam', 'tp', 'ketakutan', 'terkalahkan', 'org', 'duka', 'mohon', 'jgn', 'bully'];wujud cinta kasih duka warga maluku meninggalnya salah putra terbaik maluku kaka tercinta menyadari virus covid number dimanadan mengancam tp ketakutan terkalahkan org duka mohon jgn bully;wujud cinta kasih duka warga malu tinggal salah putra baik malu kaka cinta sadar virus covid number dimanadan ancam tp takut kalah org duka mohon jgn bully
Jawaban paling Wow.. udah bikin apa anda buat penanggulangan covid? Wisma atlit masih butuh relawan ikut yuuu sayang;1.0;jawaban paling wow repeated udah bikin apa anda buat penanggulangan covid wisma atlit masih butuh relawan ikut yu elongated sayang;['wow', 'repeated', 'udah', 'bikin', 'penanggulangan', 'covid', 'wisma', 'atlit', 'butuh', 'relawan', 'yu', 'elongated', 'sayang'];wow repeated udah bikin penanggulangan covid wisma atlit butuh relawan yu elongated sayang;wow repeated udah bikin tanggulang covid wisma atlit butuh rawan yu elongated sayang
Demi kesehatan mental lu, baca berita covid sekali sehari aja, Dan apapun yg terjadi setelah lu baca gak usah hiraukan, skip aja udah untk hari esok atau lusa, karna itu gak baik buat lu;1.0;demi kesehatan mental lu baca berita covid sekali sehari aja dan apapun yg terjadi setelah lu baca gak usah hiraukan skip aja udah untk hari esok atau lusa karna itu gak baik buat lu;['kesehatan', 'mental', 'lu', 'baca', 'berita', 'covid', 'sehari', 'aja', 'apapun', 'yg', 'lu', 'baca', 'gak', 'hiraukan', 'skip', 'aja', 'udah', 'untk', 'esok', 'lusa', 'karna', 'gak', 'lu'];kesehatan mental lu baca berita covid sehari aja apapun yg lu baca gak hiraukan skip aja udah untk esok lusa karna gak lu;sehat mental lu baca berita covid hari aja apa yg lu baca gak hirau skip aja udah untk esok lusa karna gak lu
Covid-19 memiliki arti kata Co yakni corona, Vi yakni virus dan D yakni disease atau penyakit. Kemudian ditambahkan angka 19, yakni 2019 mewakili tahun Smg puas dgn jwban ini halo Luna ;1.0;covid number memiliki arti kata co yakni corona vi yakni virus dan d yakni disease atau penyakit kemudian ditambahkan angka number yakni number mewakili tahun smg puas dgn jwban ini halo luna;['covid', 'number', 'memiliki', 'arti', 'co', 'corona', 'vi', 'virus', 'd', 'disease', 'penyakit', 'angka', 'number', 'number', 'mewakili', 'smg', 'puas', 'dgn', 'jwban', 'halo', 'luna'];covid number memiliki arti co corona vi virus d disease penyakit angka number number mewakili smg puas dgn jwban halo luna;covid number milik arti co corona vi virus d disease sakit angka number number wakil smg puas dgn jwban halo luna
jalan - Membantu pihak berkuasa dalam menanggani penularan wabak Covid-19 Ft 12 sec 72.00 Ft 03 sec 210.00;0.0;jalan membantu pihak berkuasa dalam menanggani penularan wabak covid number ft number sec number ft number sec number;['jalan', 'membantu', 'berkuasa', 'menanggani', 'penularan', 'wabak', 'covid', 'number', 'ft', 'number', 'sec', 'number', 'ft', 'number', 'sec', 'number'];jalan membantu berkuasa menanggani penularan wabak covid number ft number sec number ft number sec number;jalan bantu kuasa menanggani tular wabak covid number ft number sec number ft number sec number
Ini adalah contoh beberapa kondisi penerapan alat pengaman di Apotek agar meminimalisir penularan COVID-19.Bagaimana kondisi di apotek anda? Silahkan share dan tag medsos kami dengan hashtag;0.0;ini adalah contoh beberapa kondisi penerapan alat pengaman di apotek agar meminimalisir penularan allcaps covid allcaps number bagaimana kondisi di apotek anda silahkan share dan tag medsos kami dengan hashtag;['contoh', 'kondisi', 'penerapan', 'alat', 'pengaman', 'apotek', 'meminimalisir', 'penularan', 'allcaps', 'covid', 'allcaps', 'number', 'kondisi', 'apotek', 'silahkan', 'share', 'tag', 'medsos', 'hashtag'];contoh kondisi penerapan alat pengaman apotek meminimalisir penularan allcaps covid allcaps number kondisi apotek silahkan share tag medsos hashtag;contoh kondisi terap alat kam apotek meminimalisir tular allcaps covid allcaps number kondisi apotek silah share tag medsos hashtag
Am Mrs. Lestari Abyasa dari Balikpapan. terima kasih kepada RIKA ANDERSON PINJAMAN yang memberikan saya pinjaman tanpa jaminan 100 juta dalam pandemi COVID-19 ini. Anda dapat menghubungi ibu WA +1 (323) 689-3663. Email:rikaandersonloancompany saya +6282235421239;-1.0;am mrs lestari abyasa dari balikpapan terima kasih kepada allcaps rika anderson pinjaman allcaps yang memberikan saya pinjaman tanpa jaminan number juta dalam pandemi allcaps covid allcaps number ini anda dapat menghubungi ibu wa number number number number email rikaandersonloancompany saya number;['am', 'mrs', 'lestari', 'abyasa', 'balikpapan', 'terima', 'kasih', 'allcaps', 'rika', 'anderson', 'pinjaman', 'allcaps', 'pinjaman', 'jaminan', 'number', 'juta', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number', 'menghubungi', 'wa', 'number', 'number', 'number', 'number', 'email', 'rikaandersonloancompany', 'number'];am mrs lestari abyasa balikpapan terima kasih allcaps rika anderson pinjaman allcaps pinjaman jaminan number juta pandemi allcaps covid allcaps number menghubungi wa number number number number email rikaandersonloancompany number;am mrs lestari abyasa balikpapan terima kasih allcaps rika anderson pinjam allcaps pinjam jamin number juta pandemi allcaps covid allcaps number hubung wa number number number number email rikaandersonloancompany number
Menunggu sampai wabah COVID-19 mereda. Sabar ya, karena keselamatan orang banyak lebih penting dari segalanya. ;1.0;menunggu sampai wabah allcaps covid allcaps number mereda sabar ya karena keselamatan orang banyak lebih penting dari segalanya;['menunggu', 'wabah', 'allcaps', 'covid', 'allcaps', 'number', 'mereda', 'sabar', 'ya', 'keselamatan', 'orang'];menunggu wabah allcaps covid allcaps number mereda sabar ya keselamatan orang;tunggu wabah allcaps covid allcaps number reda sabar ya selamat orang
Para koruptor & kejahatan lain dibebaskan alasan krn pandemi covid-19;-1.0;para koruptor kejahatan lain dibebaskan alasan krn pandemi covid number;['koruptor', 'kejahatan', 'dibebaskan', 'alasan', 'krn', 'pandemi', 'covid', 'number'];koruptor kejahatan dibebaskan alasan krn pandemi covid number;koruptor jahat bebas alas krn pandemi covid number
"7. Jgn lgi ada rasa angkuh, sombong,  & rasa besar serba bisa.Bukankh Virus Corona yg kecil &amp; tk tmpak mata itu tlah mndidik kita, bahwa tdk ada yg mampu mncegahnya jka Covid-19 ingin dtang mmpir?, dan Covid-19 tdk mngenal status sosial miskin atau kaya, tua atau muda pmbesar";1.0;number jgn lgi ada rasa angkuh sombong rasa besar serba bisa bukankh virus corona yg kecil tk tmpak mata itu tlah mndidik kita bahwa tdk ada yg mampu mncegahnya jka covid number ingin dtang mmpir dan covid number tdk mngenal status sosial miskin atau kaya tua atau muda pmbesar;['number', 'jgn', 'lgi', 'angkuh', 'sombong', 'serba', 'bukankh', 'virus', 'corona', 'yg', 'tk', 'tmpak', 'mata', 'tlah', 'mndidik', 'tdk', 'yg', 'mncegahnya', 'jka', 'covid', 'number', 'dtang', 'mmpir', 'covid', 'number', 'tdk', 'mngenal', 'status', 'sosial', 'miskin', 'kaya', 'tua', 'muda', 'pmbesar'];number jgn lgi angkuh sombong serba bukankh virus corona yg tk tmpak mata tlah mndidik tdk yg mncegahnya jka covid number dtang mmpir covid number tdk mngenal status sosial miskin kaya tua muda pmbesar;number jgn lgi angkuh sombong serba bukankh virus corona yg tk tmpak mata tlah mndidik tdk yg mncegahnya jka covid number dtang mmpir covid number tdk mngenal status sosial miskin kaya tua muda pmbesar
Sudah 12 Dinyatakan Covid-19 dari Klaster Umrah di Sidrap;0.0;sudah number dinyatakan covid number dari klaster umrah di sidrap;['number', 'dinyatakan', 'covid', 'number', 'klaster', 'umrah', 'sidrap'];number dinyatakan covid number klaster umrah sidrap;number nyata covid number klaster umrah sidrap
Ada beberapa Gubernur coba diframing dari pusat sbg dlm penangganan Covid 19. Framing ini dilakukan utk menenggelankan popularitas Gubernur yg dianggap lawan politik padahal sdh mati matian berjuang melawan Covid 19 di daerahnya.;-1.0;ada beberapa gubernur coba diframing dari pusat sbg dlm penangganan covid number framing ini dilakukan utk menenggelankan popularitas gubernur yg dianggap lawan politik padahal sdh mati matian berjuang melawan covid number di daerahnya;['gubernur', 'coba', 'diframing', 'pusat', 'sbg', 'dlm', 'penangganan', 'covid', 'number', 'framing', 'utk', 'menenggelankan', 'popularitas', 'gubernur', 'yg', 'dianggap', 'lawan', 'politik', 'sdh', 'mati', 'matian', 'berjuang', 'melawan', 'covid', 'number', 'daerahnya'];gubernur coba diframing pusat sbg dlm penangganan covid number framing utk menenggelankan popularitas gubernur yg dianggap lawan politik sdh mati matian berjuang melawan covid number daerahnya;gubernur coba diframing pusat sbg dlm penangganan covid number framing utk menenggelankan popularitas gubernur yg anggap lawan politik sdh mati mati juang lawan covid number daerah
Lagi-lagi jenazah covid ditolak. Dia perawat yang meninggal grgr terpapar covid-19 ;-1.0;lagi lagi jenazah covid ditolak dia perawat yang meninggal grgr terpapar covid number;['jenazah', 'covid', 'ditolak', 'perawat', 'meninggal', 'grgr', 'terpapar', 'covid', 'number'];jenazah covid ditolak perawat meninggal grgr terpapar covid number;jenazah covid tolak awat tinggal grgr papar covid number
Pandemi corona mengancam nasib media lokal ;-1.0;pandemi corona mengancam nasib media lokal;['pandemi', 'corona', 'mengancam', 'nasib', 'media', 'lokal'];pandemi corona mengancam nasib media lokal;pandemi corona ancam nasib media lokal
COVID-19: Angka kematian hampiri 100,000 di seluruh dunia;0.0;allcaps covid allcaps number angka kematian hampiri number di seluruh dunia;['allcaps', 'covid', 'allcaps', 'number', 'angka', 'kematian', 'hampiri', 'number', 'dunia'];allcaps covid allcaps number angka kematian hampiri number dunia;allcaps covid allcaps number angka mati hampir number dunia
Yg ada tuh, level presiden menyediakan dana spy rakyat yg terkena dampak covid tetap bisa di rmh tp bisa makan layak yg dikoordinasi dr pusat sampai ke pelosok. Bekerja melalui jalurnya. Bukan bagi2 di jalan. Ini mah kelas cere;-1.0;yg ada tuh level presiden menyediakan dana spy rakyat yg terkena dampak covid tetap bisa di rmh tp bisa makan layak yg dikoordinasi dr pusat sampai ke pelosok bekerja melalui jalurnya bukan bagi di jalan ini mah kelas cere;['yg', 'tuh', 'level', 'presiden', 'menyediakan', 'dana', 'spy', 'rakyat', 'yg', 'terkena', 'dampak', 'covid', 'rmh', 'tp', 'makan', 'layak', 'yg', 'dikoordinasi', 'dr', 'pusat', 'pelosok', 'jalurnya', 'jalan', 'mah', 'kelas', 'cere'];yg tuh level presiden menyediakan dana spy rakyat yg terkena dampak covid rmh tp makan layak yg dikoordinasi dr pusat pelosok jalurnya jalan mah kelas cere;yg tuh level presiden sedia dana spy rakyat yg kena dampak covid rmh tp makan layak yg koordinasi dr pusat pelosok jalur jalan mah kelas cere
Penghulu & para pengurus masjid Sang Cipta Rasa kota Cirebon menggelar ikhtiar tolak bala dengan bermunajat bersama dan adzan pitu. Semoga wabah COVID 19 segera berakhir. Aamiin...untuk para dokter & tim medis indonesia tetap semangat.;1.0;penghulu para pengurus masjid sang cipta rasa kota cirebon menggelar ikhtiar tolak bala dengan bermunajat bersama dan adzan pitu semoga wabah allcaps covid allcaps number segera berakhir aamiin repeated untuk para dokter tim medis indonesia tetap semangat;['penghulu', 'pengurus', 'masjid', 'sang', 'cipta', 'kota', 'cirebon', 'menggelar', 'ikhtiar', 'tolak', 'bala', 'bermunajat', 'adzan', 'pitu', 'semoga', 'wabah', 'allcaps', 'covid', 'allcaps', 'number', 'aamiin', 'repeated', 'dokter', 'tim', 'medis', 'indonesia', 'semangat'];penghulu pengurus masjid sang cipta kota cirebon menggelar ikhtiar tolak bala bermunajat adzan pitu semoga wabah allcaps covid allcaps number aamiin repeated dokter tim medis indonesia semangat;penghulu urus masjid sang cipta kota cirebon gelar ikhtiar tolak bala munajat adzan pitu moga wabah allcaps covid allcaps number aamiin repeated dokter tim medis indonesia semangat
Min LPDP 2020 ttp ada nggk yaa min, mengingat Dana Tetap Pendidikan di ahlikan ke penanggulangan ekonomi karena Covid-19;0.0;min allcaps lpdp allcaps number ttp ada nggk yaa min mengingat dana tetap pendidikan di ahlikan ke penanggulangan ekonomi karena covid number;['min', 'allcaps', 'lpdp', 'allcaps', 'number', 'ttp', 'nggk', 'yaa', 'min', 'dana', 'pendidikan', 'ahlikan', 'penanggulangan', 'ekonomi', 'covid', 'number'];min allcaps lpdp allcaps number ttp nggk yaa min dana pendidikan ahlikan penanggulangan ekonomi covid number;min allcaps lpdp allcaps number ttp nggk yaa min dana didik ahli tanggulang ekonomi covid number
Leader dlm penyebaran covid 19 kale.... Membuat org antri akibat efek kejutnya;-1.0;leader dlm penyebaran covid number kale repeated membuat org antri akibat efek kejutnya;['leader', 'dlm', 'penyebaran', 'covid', 'number', 'kale', 'repeated', 'org', 'antri', 'akibat', 'efek', 'kejutnya'];leader dlm penyebaran covid number kale repeated org antri akibat efek kejutnya;leader dlm sebar covid number kale repeated org antri akibat efek kejut
Wii... Yg berdampak Covid-19 itu tdk hanya warga miskin. Berita ini judulnya benar. Isinya yg tdk benar...;-1.0;wii repeated yg berdampak covid number itu tdk hanya warga miskin berita ini judulnya benar isinya yg tdk benar repeated;['wii', 'repeated', 'yg', 'berdampak', 'covid', 'number', 'tdk', 'warga', 'miskin', 'berita', 'judulnya', 'isinya', 'yg', 'tdk', 'repeated'];wii repeated yg berdampak covid number tdk warga miskin berita judulnya isinya yg tdk repeated;wii repeated yg dampak covid number tdk warga miskin berita judul isi yg tdk repeated
memanusiakan manusia adalah salah satu bentuk penghormatan kita pada sesama. sedih kalo liat jenazah yg meninggal karena covid-19 tidak diterima warga setempat untuk dimakamkan.;1.0;memanusiakan manusia adalah salah satu bentuk penghormatan kita pada sesama sedih kalo liat jenazah yg meninggal karena covid number tidak diterima warga setempat untuk dimakamkan;['memanusiakan', 'manusia', 'salah', 'bentuk', 'penghormatan', 'sedih', 'kalo', 'liat', 'jenazah', 'yg', 'meninggal', 'covid', 'number', 'diterima', 'warga', 'dimakamkan'];memanusiakan manusia salah bentuk penghormatan sedih kalo liat jenazah yg meninggal covid number diterima warga dimakamkan;manusia manusia salah bentuk hormat sedih kalo liat jenazah yg tinggal covid number terima warga makam
Ada ancaman penyebaran COVID-19 yang lebih luas. dr. Dike Afifi menbuat petisi kepada Presiden untuk keluarkan kebijakan menghentikan semua akses transportasi dari dalam dan keluar kota - Tandatangani Petisi!;1.0;ada ancaman penyebaran allcaps covid allcaps number yang lebih luas dr dike afifi menbuat petisi kepada presiden untuk keluarkan kebijakan menghentikan semua akses transportasi dari dalam dan keluar kota tandatangani petisi;['ancaman', 'penyebaran', 'allcaps', 'covid', 'allcaps', 'number', 'luas', 'dr', 'dike', 'afifi', 'menbuat', 'petisi', 'presiden', 'keluarkan', 'kebijakan', 'menghentikan', 'akses', 'transportasi', 'kota', 'tandatangani', 'petisi'];ancaman penyebaran allcaps covid allcaps number luas dr dike afifi menbuat petisi presiden keluarkan kebijakan menghentikan akses transportasi kota tandatangani petisi;ancam sebar allcaps covid allcaps number luas dr dike afifi menbuat petisi presiden keluar bijak henti akses transportasi kota tandatangani petisi
yaudah di gpp. let covid do ur duties aja;1.0;yaudah di gpp let covid do ur duties aja;['yaudah', 'gpp', 'let', 'covid', 'do', 'ur', 'duties', 'aja'];yaudah gpp let covid do ur duties aja;yaudah gpp let covid do ur duties aja
Persib Potong 75 Persen Gaji Pemain karena Corona Covid-19;0.0;persib potong number persen gaji pemain karena corona covid number;['persib', 'potong', 'number', 'persen', 'gaji', 'pemain', 'corona', 'covid', 'number'];persib potong number persen gaji pemain corona covid number;persib potong number persen gaji main corona covid number
virus Corona COVID-19 melanda saat Indonesia menghadapi musim pancaroba. Ancaman demam berdarah dengue (DBD) juga sedang menghantui.;0.0;virus corona allcaps covid allcaps number melanda saat indonesia menghadapi musim pancaroba ancaman demam berdarah dengue allcaps dbd allcaps juga sedang menghantui;['virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number', 'melanda', 'indonesia', 'menghadapi', 'musim', 'pancaroba', 'ancaman', 'demam', 'berdarah', 'dengue', 'allcaps', 'dbd', 'allcaps', 'menghantui'];virus corona allcaps covid allcaps number melanda indonesia menghadapi musim pancaroba ancaman demam berdarah dengue allcaps dbd allcaps menghantui;virus corona allcaps covid allcaps number landa indonesia hadap musim pancaroba ancam demam darah dengue allcaps dbd allcaps hantu
ALLAH MAHA KUASA !!! Kisah Nyata Mengharukan... Pelajar Muslimah Indonesia Yang Terkena Covid-19 di New York Alhamdulillah.. Allahu Akbar ;-1.0;allcaps allah maha kuasa allcaps repeated kisah nyata mengharukan repeated pelajar muslimah indonesia yang terkena covid number di new york alhamdulillah repeated allahu akbar;['allcaps', 'allah', 'maha', 'kuasa', 'allcaps', 'repeated', 'kisah', 'nyata', 'mengharukan', 'repeated', 'pelajar', 'muslimah', 'indonesia', 'terkena', 'covid', 'number', 'new', 'york', 'alhamdulillah', 'repeated', 'allahu', 'akbar'];allcaps allah maha kuasa allcaps repeated kisah nyata mengharukan repeated pelajar muslimah indonesia terkena covid number new york alhamdulillah repeated allahu akbar;allcaps allah maha kuasa allcaps repeated kisah nyata haru repeated ajar muslimah indonesia kena covid number new york alhamdulillah repeated allahu akbar
Ngaur kamu,mosok tenaga medis meninggal kamu sangkutkan dgn fatwa mui,emngya semua pasien covid itu dari mesjid sumbernya.hadeuh;-1.0;ngaur kamu mosok tenaga medis meninggal kamu sangkutkan dgn fatwa mui emngya semua pasien covid itu dari mesjid sumbernya hadeuh;['ngaur', 'mosok', 'tenaga', 'medis', 'meninggal', 'sangkutkan', 'dgn', 'fatwa', 'mui', 'emngya', 'pasien', 'covid', 'mesjid', 'sumbernya', 'hadeuh'];ngaur mosok tenaga medis meninggal sangkutkan dgn fatwa mui emngya pasien covid mesjid sumbernya hadeuh;ngaur mosok tenaga medis tinggal sangkut dgn fatwa mui emngya pasien covid mesjid sumber hadeuh
Sempat Nihil Tiga Hari, Kini Pasien Positif Covid-19 Bertambah Satu Orang;0.0;sempat nihil tiga hari kini pasien positif covid number bertambah satu orang;['nihil', 'pasien', 'positif', 'covid', 'number', 'bertambah', 'orang'];nihil pasien positif covid number bertambah orang;nihil pasien positif covid number tambah orang
Lindungi Dokter dari Paparan COVID-19, BPPT RI Luncurkan Aplikasi Mobile Covid Track;1.0;lindungi dokter dari paparan allcaps covid allcaps number allcaps bppt ri allcaps luncurkan aplikasi mobile covid track;['lindungi', 'dokter', 'paparan', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'bppt', 'ri', 'allcaps', 'luncurkan', 'aplikasi', 'mobile', 'covid', 'track'];lindungi dokter paparan allcaps covid allcaps number allcaps bppt ri allcaps luncurkan aplikasi mobile covid track;lindung dokter papar allcaps covid allcaps number allcaps bppt ri allcaps luncur aplikasi mobile covid track
Semoga insan2 bocah kontol mampus kena covid-19 ya.;-1.0;semoga insan bocah kontol mampus kena covid number ya;['semoga', 'insan', 'bocah', 'kontol', 'mampus', 'kena', 'covid', 'number', 'ya'];semoga insan bocah kontol mampus kena covid number ya;moga insan bocah kontol mampus kena covid number ya
gejala covid-20;0.0;gejala covid number;['gejala', 'covid', 'number'];gejala covid number;gejala covid number
Jumat 10/04/2020Kesadaran masyarakat akan pentingnya berdiam diri dirumah dalam memutus penyebaran virus covid 19 sangat besar dan dari kesadaran diri sendiri, terlihat dr pantauan Kijang Patroli 11.34 Klungkung disimpang Lepang bypass IB Mantra Klungkung terpantau tipis lancar;1.0;jumat number number kesadaran masyarakat akan pentingnya berdiam diri dirumah dalam memutus penyebaran virus covid number sangat besar dan dari kesadaran diri sendiri terlihat dr pantauan kijang patroli number klungkung disimpang lepang bypass ib mantra klungkung terpantau tipis lancar;['jumat', 'number', 'number', 'kesadaran', 'masyarakat', 'berdiam', 'dirumah', 'memutus', 'penyebaran', 'virus', 'covid', 'number', 'kesadaran', 'dr', 'pantauan', 'kijang', 'patroli', 'number', 'klungkung', 'disimpang', 'lepang', 'bypass', 'ib', 'mantra', 'klungkung', 'terpantau', 'tipis', 'lancar'];jumat number number kesadaran masyarakat berdiam dirumah memutus penyebaran virus covid number kesadaran dr pantauan kijang patroli number klungkung disimpang lepang bypass ib mantra klungkung terpantau tipis lancar;jumat number number sadar masyarakat diam rumah putus sebar virus covid number sadar dr pantau kijang patroli number klungkung simpang lepang bypass ib mantra klungkung pantau tipis lancar
Selamat Pagi. Rute Tebet-Depok tersedia pkl 17:33 WIB, untuk Informasi lengkap jadwal perjalanan KRL mulai 10 April 2020, bisa di lihat pada website link berikut : Tks.;0.0;selamat pagi rute tebet depok tersedia pkl number number allcaps wib allcaps untuk informasi lengkap jadwal perjalanan allcaps krl allcaps mulai number april number bisa di lihat pada website link berikut tks;['selamat', 'pagi', 'rute', 'tebet', 'depok', 'tersedia', 'pkl', 'number', 'number', 'allcaps', 'wib', 'allcaps', 'informasi', 'lengkap', 'jadwal', 'perjalanan', 'allcaps', 'krl', 'allcaps', 'number', 'april', 'number', 'lihat', 'website', 'link', 'tks'];selamat pagi rute tebet depok tersedia pkl number number allcaps wib allcaps informasi lengkap jadwal perjalanan allcaps krl allcaps number april number lihat website link tks;selamat pagi rute tebet depok sedia pkl number number allcaps wib allcaps informasi lengkap jadwal jalan allcaps krl allcaps number april number lihat website link tks
Sangat disayangkan, Gorontalo gagal bertahan sebagai daerah bebas Covid-19 hanya karena keegoisan suatu kaum yang enggan tawakal dan memilih untuk takabur;0.0;sangat disayangkan gorontalo gagal bertahan sebagai daerah bebas covid number hanya karena keegoisan suatu kaum yang enggan tawakal dan memilih untuk takabur;['disayangkan', 'gorontalo', 'gagal', 'bertahan', 'daerah', 'bebas', 'covid', 'number', 'keegoisan', 'kaum', 'enggan', 'tawakal', 'memilih', 'takabur'];disayangkan gorontalo gagal bertahan daerah bebas covid number keegoisan kaum enggan tawakal memilih takabur;sayang gorontalo gagal tahan daerah bebas covid number egois kaum enggan tawakal pilih takabur
Udah pasti sekrg akan berlindung di balik wabah, gak bisa naikkan gaji krn hrs re-alokasikan dana utk respon Covid-19.;0.0;udah pasti sekrg akan berlindung di balik wabah gak bisa naikkan gaji krn hrs re alokasikan dana utk respon covid number;['udah', 'sekrg', 'berlindung', 'wabah', 'gak', 'naikkan', 'gaji', 'krn', 'hrs', 're', 'alokasikan', 'dana', 'utk', 'respon', 'covid', 'number'];udah sekrg berlindung wabah gak naikkan gaji krn hrs re alokasikan dana utk respon covid number;udah sekrg lindung wabah gak naik gaji krn hrs re alokasi dana utk respon covid number
"Bayar dlm kereta, x payah ke kaunter""Musim COVID-19 ni, elakkn guna cash!Guna aplikasi SETEL dlm kereta SAHAJA! Gunakn Setel pam minyak Setel & nikmati RM5 PERCUMA slps pembelian petrol RM30 pertama anda!Kod rujukan : Download setel sekarang! ";0.0;bayar dlm kereta x payah ke kaunter musim allcaps covid allcaps number ni elakkn guna cash guna aplikasi allcaps setel allcaps dlm kereta allcaps sahaja allcaps gunakn setel pam minyak setel nikmati rm allcaps percuma allcaps slps pembelian petrol rm pertama anda kod rujukan download setel sekarang;['bayar', 'dlm', 'kereta', 'x', 'payah', 'kaunter', 'musim', 'allcaps', 'covid', 'allcaps', 'number', 'ni', 'elakkn', 'cash', 'aplikasi', 'allcaps', 'setel', 'allcaps', 'dlm', 'kereta', 'allcaps', 'sahaja', 'allcaps', 'gunakn', 'setel', 'pam', 'minyak', 'setel', 'nikmati', 'rm', 'allcaps', 'allcaps', 'slps', 'pembelian', 'petrol', 'rm', 'kod', 'rujukan', 'download', 'setel'];bayar dlm kereta x payah kaunter musim allcaps covid allcaps number ni elakkn cash aplikasi allcaps setel allcaps dlm kereta allcaps sahaja allcaps gunakn setel pam minyak setel nikmati rm allcaps allcaps slps pembelian petrol rm kod rujukan download setel;bayar dlm kereta x payah kaunter musim allcaps covid allcaps number ni elakkn cash aplikasi allcaps setel allcaps dlm kereta allcaps sahaja allcaps gunakn setel pam minyak setel nikmat rm allcaps allcaps slps beli petrol rm kod rujuk download setel
Musim sakit macam ni kan agak2 u all hantu jin momok kena tak covid 19 ni tak;-1.0;musim sakit macam ni kan agak u all hantu jin momok kena tak covid number ni tak;['musim', 'sakit', 'ni', 'u', 'all', 'hantu', 'jin', 'momok', 'kena', 'covid', 'number', 'ni'];musim sakit ni u all hantu jin momok kena covid number ni;musim sakit ni u all hantu jin momok kena covid number ni
3. Langkah yg dapat di ambil pemerintah dalam mengatasi dampak Covid-19 terhadap Perekonomian Indonesia Jawab :Menjaga konsumsi rumah tangga miskin melalui berbagai program yang dapat dilakukan segera coverage besar, dan berdampak langsung ke covid 19;1.0;number langkah yg dapat di ambil pemerintah dalam mengatasi dampak covid number terhadap perekonomian indonesia jawab menjaga konsumsi rumah tangga miskin melalui berbagai program yang dapat dilakukan segera coverage besar dan berdampak langsung ke covid number;['number', 'langkah', 'yg', 'ambil', 'pemerintah', 'mengatasi', 'dampak', 'covid', 'number', 'perekonomian', 'indonesia', 'menjaga', 'konsumsi', 'rumah', 'tangga', 'miskin', 'program', 'coverage', 'berdampak', 'langsung', 'covid', 'number'];number langkah yg ambil pemerintah mengatasi dampak covid number perekonomian indonesia menjaga konsumsi rumah tangga miskin program coverage berdampak langsung covid number;number langkah yg ambil perintah atas dampak covid number ekonomi indonesia jaga konsumsi rumah tangga miskin program coverage dampak langsung covid number
Mendikbud Nadiem Makarim mengambil keputusan terkait pencairan dana KIP atau Kartu Indonesia Pintar di tengah pandemi virus corona COVID-19.;1.0;mendikbud nadiem makarim mengambil keputusan terkait pencairan dana allcaps kip allcaps atau kartu indonesia pintar di tengah pandemi virus corona allcaps covid allcaps number;['mendikbud', 'nadiem', 'makarim', 'mengambil', 'keputusan', 'terkait', 'pencairan', 'dana', 'allcaps', 'kip', 'allcaps', 'kartu', 'indonesia', 'pintar', 'pandemi', 'virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number'];mendikbud nadiem makarim mengambil keputusan terkait pencairan dana allcaps kip allcaps kartu indonesia pintar pandemi virus corona allcaps covid allcaps number;mendikbud nadiem makarim ambil putus kait cair dana allcaps kip allcaps kartu indonesia pintar pandemi virus corona allcaps covid allcaps number
Kadar kematian COVID-19 di Malaysia masih rendah.;1.0;kadar kematian allcaps covid allcaps number di malaysia masih rendah;['kadar', 'kematian', 'allcaps', 'covid', 'allcaps', 'number', 'malaysia', 'rendah'];kadar kematian allcaps covid allcaps number malaysia rendah;kadar mati allcaps covid allcaps number malaysia rendah
Pecah telor Sarjana Covid-19!;0.0;pecah telor sarjana covid number;['pecah', 'telor', 'sarjana', 'covid', 'number'];pecah telor sarjana covid number;pecah telor sarjana covid number
